HG_224410	OG0224409: Ebro_g35013.t1
HG_42372	OG0042371: Ebro_g15177.t1 Ebro_g1937.t1 Ebro_g21130.t1 Ebro_g30014.t1 Ebro_g40378.t1 Ebro_g5554.t1 Ebro_g5837.t1
HG_224623	OG0224622: Ebro_g27267.t1
HG_224825	OG0224824: Ebro_g20953.t1
HG_83200	OG0083199: Ebro_g24368.t1 Ebro_g2708.t1 Ebro_g34164.t1
HG_224421	OG0224420: Ebro_g26319.t2
HG_224509	OG0224508: Ebro_g20509.t1
HG_224105	OG0224104: Ebro_g38566.t1
HG_224307	OG0224306: Ebro_g18275.t1
HG_66954	OG0066953: Ebro_g13095.t1 Ebro_g13703.t1 Ebro_g13704.t1 Ebro_g6280.t1
HG_113883	OG0113882: Ebro_g20694.t1 Ebro_g20694.t2
HG_113681	OG0113680: Ebro_g5425.t1 Ebro_g5426.t1
HG_113769	OG0113768: Ebro_g29695.t1 Ebro_g33357.t1
HG_113567	OG0113566: Ebro_g2868.t1 Ebro_g3359.t1
HG_26660	OG0026659: Ebro_g10201.t1 Ebro_g12126.t1 Ebro_g12589.t1 Ebro_g19697.t1 Ebro_g19698.t1 Ebro_g20376.t1 Ebro_g21506.t1 Ebro_g29447.t1 Ebro_g30173.t1 Ebro_g30812.t1 Ebro_g32249.t1 Ebro_g7327.t1
HG_227172	OG0227171: Ebro_g37377.t1
HG_67014	OG0067013: Ebro_g28901.t1 Ebro_g2903.t1 Ebro_g33831.t1 Ebro_g45013.t1
HG_227058	OG0227057: Ebro_g45357.t1
HG_23643	OG0023642: Ebro_g12841.t1 Ebro_g14293.t1 Ebro_g16877.t1 Ebro_g21675.t1 Ebro_g23513.t1 Ebro_g23600.t1 Ebro_g31872.t1 Ebro_g33471.t1 Ebro_g35543.t1 Ebro_g43023.t1 Ebro_g45025.t1 Ebro_g46878.t1 Ebro_g5194.t1 Ebro_g8810.t1
HG_225886	OG0225885: Ebro_g46102.t1
HG_225684	OG0225683: Ebro_g37007.t1
HG_18772	OG0018771: Ebro_g1204.t1 Ebro_g14726.t1 Ebro_g1908.t1 Ebro_g1909.t1 Ebro_g19830.t1 Ebro_g28559.t1 Ebro_g33088.t1 Ebro_g33934.t1 Ebro_g35742.t1 Ebro_g35743.t1 Ebro_g3870.t2 Ebro_g5501.t1 Ebro_g5502.t1 Ebro_g5805.t1 Ebro_g6006.t1 Ebro_g6311.t1 Ebro_g6312.t1 Ebro_g9187.t1 Ebro_g959.t1
HG_225280	OG0225279: Ebro_g26434.t1
HG_225482	OG0225481: Ebro_g20835.t1
HG_225368	OG0225367: Ebro_g37232.t1
HG_225166	OG0225165: Ebro_g24635.t1
HG_226842	OG0226841: Ebro_g46822.t3
HG_226640	OG0226639: Ebro_g28433.t1
HG_226526	OG0226525: Ebro_g20851.t1
HG_226728	OG0226727: Ebro_g15396.t1
HG_226324	OG0226323: Ebro_g35824.t1
HG_55775	OG0055774: Ebro_g1158.t1 Ebro_g25606.t2 Ebro_g36155.t1 Ebro_g36850.t1 Ebro_g41239.t1
HG_226122	OG0226121: Ebro_g3786.t1
HG_21337	OG0021336: Ebro_g1196.t1 Ebro_g12073.t1 Ebro_g12586.t1 Ebro_g14607.t1 Ebro_g15180.t1 Ebro_g17435.t1 Ebro_g18416.t1 Ebro_g22462.t1 Ebro_g29253.t1 Ebro_g29254.t1 Ebro_g3426.t1 Ebro_g42250.t1 Ebro_g45072.t1 Ebro_g45894.t1 Ebro_g46808.t1 Ebro_g9454.t1
HG_224950	OG0224949: Ebro_g45229.t1
HG_226008	OG0226007: Ebro_g26146.t2
HG_224432	OG0224431: Ebro_g18320.t1
HG_55703	OG0055702: Ebro_g10526.t1 Ebro_g22623.t1 Ebro_g2429.t1 Ebro_g28568.t2 Ebro_g43635.t2
HG_224634	OG0224633: Ebro_g46165.t1
HG_224836	OG0224835: Ebro_g45953.t1
HG_224230	OG0224229: Ebro_g36388.t1
HG_224318	OG0224317: Ebro_g11236.t1
HG_224116	OG0224115: Ebro_g25556.t1
HG_10906	OG0010905: Ebro_g12015.t1 Ebro_g12534.t1 Ebro_g13058.t1 Ebro_g13611.t1 Ebro_g15465.t1 Ebro_g16411.t2 Ebro_g16481.t1 Ebro_g16482.t3 Ebro_g17483.t1 Ebro_g1749.t1 Ebro_g19480.t1 Ebro_g19634.t1 Ebro_g22981.t1 Ebro_g23725.t1 Ebro_g26145.t1 Ebro_g26348.t1 Ebro_g27835.t1 Ebro_g3063.t1 Ebro_g31384.t1 Ebro_g31916.t1 Ebro_g32102.t1 Ebro_g32431.t1 Ebro_g32437.t3 Ebro_g32906.t1 Ebro_g3313.t1 Ebro_g33277.t1 Ebro_g33277.t2 Ebro_g3340.t1 Ebro_g35036.t1 Ebro_g37769.t1 Ebro_g38945.t1 Ebro_g40662.t1 Ebro_g41208.t1 Ebro_g41522.t1 Ebro_g42208.t1 Ebro_g45384.t1 Ebro_g46079.t1 Ebro_g4989.t1 Ebro_g582.t1 Ebro_g612.t1 Ebro_g6180.t1 Ebro_g6274.t1 Ebro_g6620.t1 Ebro_g6703.t1 Ebro_g7118.t1 Ebro_g8773.t1 Ebro_g8791.t1 Ebro_g9277.t1 Ebro_g9443.t1 Ebro_g9452.t1
HG_18121	OG0018120: Ebro_g12505.t2 Ebro_g12564.t1 Ebro_g14978.t1 Ebro_g15218.t1 Ebro_g17462.t1 Ebro_g19154.t1 Ebro_g19301.t1 Ebro_g2262.t1 Ebro_g22817.t1 Ebro_g2341.t1 Ebro_g24307.t1 Ebro_g25865.t1 Ebro_g29791.t1 Ebro_g3021.t2 Ebro_g40053.t1 Ebro_g42794.t1 Ebro_g6698.t1 Ebro_g6699.t1 Ebro_g86.t1 Ebro_g87.t1
HG_113692	OG0113691: Ebro_g12074.t1 Ebro_g9933.t1
HG_113490	OG0113489: Ebro_g44026.t1 Ebro_g44033.t1
HG_113578	OG0113577: Ebro_g15051.t1 Ebro_g3790.t1
HG_14191	OG0014190: Ebro_g10095.t1 Ebro_g10370.t1 Ebro_g10440.t1 Ebro_g10781.t1 Ebro_g11504.t1 Ebro_g12332.t1 Ebro_g12333.t1 Ebro_g13736.t1 Ebro_g13962.t1 Ebro_g14564.t1 Ebro_g16260.t1 Ebro_g16504.t1 Ebro_g16601.t1 Ebro_g23791.t1 Ebro_g2383.t1 Ebro_g23987.t1 Ebro_g24895.t1 Ebro_g28609.t1 Ebro_g29355.t1 Ebro_g30808.t1 Ebro_g38098.t1 Ebro_g39119.t1 Ebro_g41646.t1 Ebro_g41706.t1 Ebro_g43928.t2 Ebro_g45114.t1 Ebro_g45557.t1 Ebro_g5182.t1 Ebro_g9027.t1 Ebro_g9588.t1
HG_48116	OG0048115: Ebro_g20739.t1 Ebro_g21008.t2 Ebro_g21009.t1 Ebro_g21010.t1 Ebro_g42144.t1 Ebro_g42153.t1
HG_227183	OG0227182: Ebro_g5734.t1
HG_227069	OG0227068: Ebro_g22183.t1
HG_48083	OG0048082: Ebro_g10327.t1 Ebro_g14366.t1 Ebro_g17959.t1 Ebro_g40685.t1 Ebro_g41790.t1 Ebro_g6269.t1
HG_225695	OG0225694: Ebro_g45055.t1
HG_225897	OG0225896: Ebro_g29113.t1
HG_225291	OG0225290: Ebro_g26436.t1
HG_225493	OG0225492: Ebro_g7465.t1
HG_113800	OG0113799: Ebro_g23317.t1 Ebro_g35450.t1
HG_225177	OG0225176: Ebro_g11653.t1
HG_225379	OG0225378: Ebro_g20018.t1
HG_226651	OG0226650: Ebro_g33207.t1
HG_226853	OG0226852: Ebro_g15114.t1
HG_226739	OG0226738: Ebro_g18593.t1
HG_37821	OG0037820: Ebro_g28435.t1 Ebro_g31536.t1 Ebro_g3741.t1 Ebro_g3742.t1 Ebro_g37810.t1 Ebro_g46550.t1 Ebro_g7165.t1 Ebro_g78.t2
HG_226335	OG0226334: Ebro_g1062.t1
HG_226537	OG0226536: Ebro_g42407.t1
HG_83118	OG0083117: Ebro_g16860.t1 Ebro_g17881.t1 Ebro_g35617.t1
HG_224961	OG0224960: Ebro_g2958.t1
HG_226133	OG0226132: Ebro_g15153.t1
HG_226019	OG0226018: Ebro_g4316.t1
HG_224847	OG0224846: Ebro_g18012.t1
HG_83254	OG0083253: Ebro_g12527.t1 Ebro_g14801.t2 Ebro_g14801.t3
HG_224645	OG0224644: Ebro_g23380.t1
HG_224241	OG0224240: Ebro_g5595.t1
HG_224443	OG0224442: Ebro_g25167.t1
HG_83085	OG0083084: Ebro_g32663.t1 Ebro_g38031.t1 Ebro_g45929.t1
HG_224127	OG0224126: Ebro_g9869.t1
HG_224329	OG0224328: Ebro_g37284.t1
HG_225803	OG0225802: Ebro_g43457.t1
HG_225601	OG0225600: Ebro_g29942.t1
HG_28579	OG0028578: Ebro_g11258.t1 Ebro_g11551.t1 Ebro_g1186.t1 Ebro_g1534.t1 Ebro_g16520.t1 Ebro_g16764.t1 Ebro_g22652.t1 Ebro_g22946.t1 Ebro_g25360.t1 Ebro_g34377.t1 Ebro_g46674.t1
HG_113589	OG0113588: Ebro_g15836.t1 Ebro_g15837.t1
HG_227194	OG0227193: Ebro_g16198.t1
HG_113811	OG0113810: Ebro_g7876.t1 Ebro_g7876.t2
HG_16994	OG0016993: Ebro_g12509.t1 Ebro_g14462.t1 Ebro_g17042.t1 Ebro_g17497.t1 Ebro_g18728.t1 Ebro_g20094.t1 Ebro_g21212.t1 Ebro_g22443.t1 Ebro_g22787.t1 Ebro_g22799.t1 Ebro_g22799.t2 Ebro_g29305.t1 Ebro_g29593.t1 Ebro_g30739.t1 Ebro_g38502.t2 Ebro_g4198.t1 Ebro_g4304.t1 Ebro_g43986.t2 Ebro_g46792.t1 Ebro_g4837.t1 Ebro_g512.t1 Ebro_g7715.t1
HG_225188	OG0225187: Ebro_g21449.t1
HG_226864	OG0226863: Ebro_g2390.t1
HG_226460	OG0226459: Ebro_g11798.t1
HG_226662	OG0226661: Ebro_g32553.t1
HG_226144	OG0226143: Ebro_g29604.t1
HG_226346	OG0226345: Ebro_g17603.t1
HG_226548	OG0226547: Ebro_g4665.t1
HG_224972	OG0224971: Ebro_g10117.t1
HG_55757	OG0055756: Ebro_g18404.t1 Ebro_g18404.t2 Ebro_g18405.t1 Ebro_g39756.t1 Ebro_g6798.t1
HG_224770	OG0224769: Ebro_g14692.t2
HG_224858	OG0224857: Ebro_g21216.t1
HG_224252	OG0224251: Ebro_g632.t1
HG_224454	OG0224453: Ebro_g23979.t1
HG_227100	OG0227099: Ebro_g34021.t1
HG_224656	OG0224655: Ebro_g4389.t1
HG_224138	OG0224137: Ebro_g124.t1
HG_224050	OG0224049: Ebro_g16338.t1
HG_225410	OG0225409: Ebro_g7428.t1
HG_225612	OG0225611: Ebro_g30227.t1
HG_225814	OG0225813: Ebro_g27588.t1
HG_21350	OG0021349: Ebro_g11198.t1 Ebro_g11582.t1 Ebro_g12638.t1 Ebro_g12639.t1 Ebro_g12897.t1 Ebro_g14277.t1 Ebro_g14278.t1 Ebro_g15675.t1 Ebro_g22215.t1 Ebro_g25846.t1 Ebro_g29107.t1 Ebro_g38809.t1 Ebro_g4375.t1 Ebro_g4383.t1 Ebro_g46061.t1 Ebro_g5124.t2
HG_48065	OG0048064: Ebro_g16787.t1 Ebro_g1734.t1 Ebro_g2649.t1 Ebro_g26676.t1 Ebro_g5643.t1 Ebro_g7411.t1
HG_10276	OG0010275: Ebro_g10052.t2 Ebro_g10568.t1 Ebro_g11382.t1 Ebro_g11382.t2 Ebro_g11656.t1 Ebro_g12294.t1 Ebro_g14236.t1 Ebro_g15334.t1 Ebro_g15413.t1 Ebro_g16643.t1 Ebro_g17003.t1 Ebro_g21673.t2 Ebro_g23145.t1 Ebro_g23504.t1 Ebro_g25341.t1 Ebro_g25563.t1 Ebro_g26130.t1 Ebro_g26466.t1 Ebro_g26691.t1 Ebro_g28002.t1 Ebro_g2814.t1 Ebro_g28939.t1 Ebro_g29171.t1 Ebro_g29487.t1 Ebro_g29494.t1 Ebro_g29676.t1 Ebro_g30912.t1 Ebro_g32374.t1 Ebro_g34392.t1 Ebro_g34721.t2 Ebro_g35039.t1 Ebro_g35470.t1 Ebro_g3697.t1 Ebro_g38016.t1 Ebro_g38285.t1 Ebro_g38489.t1 Ebro_g38782.t1 Ebro_g39531.t1 Ebro_g40226.t1 Ebro_g40548.t1 Ebro_g41624.t1 Ebro_g4311.t1 Ebro_g4382.t1 Ebro_g44623.t1 Ebro_g46712.t1 Ebro_g46863.t1 Ebro_g4693.t1 Ebro_g5570.t2 Ebro_g5930.t1 Ebro_g666.t1 Ebro_g667.t1 Ebro_g676.t1 Ebro_g6801.t1 Ebro_g8063.t1 Ebro_g8102.t1 Ebro_g8102.t4
HG_113822	OG0113821: Ebro_g22388.t1 Ebro_g35209.t1
HG_113620	OG0113619: Ebro_g2521.t2 Ebro_g2522.t2
HG_113708	OG0113707: Ebro_g16222.t1 Ebro_g28669.t1
HG_113506	OG0113505: Ebro_g32338.t2 Ebro_g32341.t1
HG_225199	OG0225198: Ebro_g31440.t1
HG_226673	OG0226672: Ebro_g26274.t1
HG_226875	OG0226874: Ebro_g7047.t1
HG_37803	OG0037802: Ebro_g17096.t1 Ebro_g17097.t1 Ebro_g17098.t1 Ebro_g37262.t1 Ebro_g37263.t1 Ebro_g37263.t2 Ebro_g37264.t1 Ebro_g37264.t2
HG_226471	OG0226470: Ebro_g37704.t1
HG_226559	OG0226558: Ebro_g12148.t2
HG_226155	OG0226154: Ebro_g21964.t1
HG_226357	OG0226356: Ebro_g31533.t1
HG_224781	OG0224780: Ebro_g8945.t1
HG_224983	OG0224982: Ebro_g39487.t1
HG_83236	OG0083235: Ebro_g17198.t1 Ebro_g42590.t1 Ebro_g45197.t1
HG_224667	OG0224666: Ebro_g163.t1
HG_224869	OG0224868: Ebro_g11112.t1
HG_224061	OG0224060: Ebro_g43274.t1
HG_224263	OG0224262: Ebro_g13177.t1
HG_224465	OG0224464: Ebro_g13702.t1
HG_227111	OG0227110: Ebro_g32076.t1
HG_83067	OG0083066: Ebro_g26984.t1 Ebro_g29292.t1 Ebro_g41310.t1
HG_224149	OG0224148: Ebro_g44718.t1
HG_225825	OG0225824: Ebro_g18829.t1
HG_225421	OG0225420: Ebro_g37285.t1
HG_225623	OG0225622: Ebro_g15570.t2
HG_225105	OG0225104: Ebro_g18464.t1
HG_225307	OG0225306: Ebro_g18720.t2
HG_225509	OG0225508: Ebro_g46012.t1
HG_42400	OG0042399: Ebro_g16133.t1 Ebro_g23108.t1 Ebro_g23320.t1 Ebro_g32126.t1 Ebro_g43053.t1 Ebro_g44627.t1 Ebro_g45750.t1
HG_83131	OG0083130: Ebro_g22395.t1 Ebro_g29610.t1 Ebro_g3096.t1
HG_66885	OG0066884: Ebro_g22368.t1 Ebro_g29589.t1 Ebro_g38401.t1 Ebro_g4698.t1
HG_34038	OG0034037: Ebro_g12451.t1 Ebro_g12858.t1 Ebro_g25022.t1 Ebro_g25559.t1 Ebro_g27206.t1 Ebro_g29944.t1 Ebro_g6848.t1 Ebro_g9052.t1 Ebro_g9392.t1
HG_113833	OG0113832: Ebro_g32769.t1 Ebro_g32770.t1
HG_113631	OG0113630: Ebro_g14634.t2 Ebro_g41751.t1
HG_113719	OG0113718: Ebro_g46117.t1 Ebro_g6526.t1
HG_226886	OG0226885: Ebro_g27315.t1
HG_113517	OG0113516: Ebro_g15405.t1 Ebro_g39133.t1
HG_226684	OG0226683: Ebro_g21213.t1
HG_226280	OG0226279: Ebro_g26039.t1
HG_226482	OG0226481: Ebro_g32199.t1
HG_226166	OG0226165: Ebro_g7321.t1
HG_226368	OG0226367: Ebro_g9015.t1
HG_224792	OG0224791: Ebro_g15124.t1
HG_55739	OG0055738: Ebro_g12805.t1 Ebro_g34423.t1 Ebro_g40507.t1 Ebro_g40582.t1 Ebro_g43697.t1
HG_224994	OG0224993: Ebro_g15183.t2
HG_224590	OG0224589: Ebro_g34782.t1
HG_224678	OG0224677: Ebro_g3206.t1
HG_227122	OG0227121: Ebro_g1040.t1
HG_224072	OG0224071: Ebro_g11719.t1
HG_224274	OG0224273: Ebro_g17545.t1
HG_224476	OG0224475: Ebro_g34394.t2
HG_225950	OG0225949: Ebro_g37993.t1
HG_227008	OG0227007: Ebro_g40826.t1
HG_55803	OG0055802: Ebro_g36493.t1 Ebro_g43340.t1 Ebro_g44357.t1 Ebro_g4605.t1 Ebro_g6916.t1
HG_225836	OG0225835: Ebro_g6823.t1
HG_225230	OG0225229: Ebro_g17644.t1
HG_225432	OG0225431: Ebro_g25928.t1
HG_225634	OG0225633: Ebro_g7747.t1
HG_225116	OG0225115: Ebro_g29943.t1
HG_225318	OG0225317: Ebro_g37475.t1
HG_25060	OG0025059: Ebro_g13215.t1 Ebro_g13223.t1 Ebro_g13329.t2 Ebro_g13615.t1 Ebro_g2123.t2 Ebro_g2124.t2 Ebro_g26103.t1 Ebro_g36739.t1 Ebro_g46263.t1 Ebro_g46268.t2 Ebro_g46269.t1 Ebro_g46270.t1 Ebro_g5772.t1
HG_21332	OG0021331: Ebro_g102.t1 Ebro_g15105.t1 Ebro_g17840.t1 Ebro_g18695.t1 Ebro_g19221.t1 Ebro_g23389.t1 Ebro_g25739.t1 Ebro_g27798.t1 Ebro_g31282.t1 Ebro_g32353.t1 Ebro_g37022.t1 Ebro_g37675.t1 Ebro_g38394.t1 Ebro_g38415.t1 Ebro_g41534.t1 Ebro_g44719.t1
HG_55770	OG0055769: Ebro_g11850.t1 Ebro_g13595.t1 Ebro_g23080.t1 Ebro_g42669.t1 Ebro_g44280.t1
HG_224900	OG0224899: Ebro_g24814.t1
HG_12902	OG0012901: Ebro_g11490.t1 Ebro_g13322.t1 Ebro_g14254.t1 Ebro_g15646.t1 Ebro_g16094.t1 Ebro_g18424.t1 Ebro_g18531.t1 Ebro_g18968.t1 Ebro_g19690.t1 Ebro_g22701.t1 Ebro_g24270.t2 Ebro_g24514.t1 Ebro_g27899.t1 Ebro_g28579.t1 Ebro_g3024.t1 Ebro_g32661.t1 Ebro_g35101.t1 Ebro_g36182.t1 Ebro_g36197.t2 Ebro_g36229.t1 Ebro_g38645.t1 Ebro_g39822.t1 Ebro_g42861.t2 Ebro_g43645.t1 Ebro_g44852.t1 Ebro_g45732.t1 Ebro_g5679.t1 Ebro_g6454.t1 Ebro_g690.t1 Ebro_g691.t1 Ebro_g7205.t1 Ebro_g7603.t1 Ebro_g8232.t1 Ebro_g8233.t1 Ebro_g8691.t1 Ebro_g974.t1
HG_12733	OG0012732: Ebro_g12326.t1 Ebro_g12327.t1 Ebro_g12561.t1 Ebro_g12782.t1 Ebro_g14575.t1 Ebro_g14576.t1 Ebro_g18032.t2 Ebro_g20823.t1 Ebro_g20824.t1 Ebro_g20831.t2 Ebro_g22967.t1 Ebro_g2354.t1 Ebro_g23714.t1 Ebro_g23781.t1 Ebro_g25848.t1 Ebro_g27322.t1 Ebro_g29457.t1 Ebro_g29594.t1 Ebro_g30451.t1 Ebro_g3133.t1 Ebro_g33860.t1 Ebro_g36319.t1 Ebro_g3769.t1 Ebro_g38485.t1 Ebro_g40075.t1 Ebro_g41820.t1 Ebro_g42811.t1 Ebro_g44917.t1 Ebro_g46223.t1 Ebro_g4800.t1 Ebro_g495.t1 Ebro_g5610.t1 Ebro_g6110.t1 Ebro_g8989.t1 Ebro_g9209.t1 Ebro_g9917.t1 Ebro_g9917.t2
HG_15035	OG0015034: Ebro_g1193.t1 Ebro_g12990.t1 Ebro_g13163.t1 Ebro_g14358.t1 Ebro_g19092.t1 Ebro_g19335.t1 Ebro_g21891.t1 Ebro_g23845.t2 Ebro_g2413.t1 Ebro_g24136.t1 Ebro_g25283.t1 Ebro_g28912.t1 Ebro_g29344.t1 Ebro_g29564.t1 Ebro_g36823.t1 Ebro_g3707.t2 Ebro_g37937.t1 Ebro_g39278.t1 Ebro_g42022.t1 Ebro_g42714.t1 Ebro_g46147.t1 Ebro_g46436.t1 Ebro_g5728.t1 Ebro_g6075.t1 Ebro_g7037.t1 Ebro_g864.t1 Ebro_g9745.t1
HG_48047	OG0048046: Ebro_g16873.t1 Ebro_g18430.t1 Ebro_g36507.t1 Ebro_g40841.t1 Ebro_g8455.t1 Ebro_g9254.t1
HG_113642	OG0113641: Ebro_g34313.t1 Ebro_g350.t1
HG_113844	OG0113843: Ebro_g16281.t1 Ebro_g16282.t1
HG_10089	OG0010088: Ebro_g10149.t1 Ebro_g10421.t1 Ebro_g10927.t1 Ebro_g1174.t1 Ebro_g11983.t1 Ebro_g11984.t1 Ebro_g12314.t1 Ebro_g12807.t1 Ebro_g13279.t1 Ebro_g13280.t1 Ebro_g13323.t1 Ebro_g13324.t1 Ebro_g13325.t1 Ebro_g13433.t1 Ebro_g13940.t1 Ebro_g14558.t1 Ebro_g14911.t1 Ebro_g1550.t1 Ebro_g15567.t1 Ebro_g15568.t1 Ebro_g1765.t1 Ebro_g17876.t1 Ebro_g18511.t1 Ebro_g20175.t1 Ebro_g22994.t1 Ebro_g23548.t1 Ebro_g24729.t1 Ebro_g25984.t1 Ebro_g26769.t1 Ebro_g28184.t1 Ebro_g28185.t1 Ebro_g2823.t1 Ebro_g2824.t1 Ebro_g29077.t1 Ebro_g30599.t1 Ebro_g30768.t1 Ebro_g31935.t2 Ebro_g3475.t1 Ebro_g3565.t1 Ebro_g35716.t1 Ebro_g35717.t1 Ebro_g3616.t1 Ebro_g377.t1 Ebro_g39927.t1 Ebro_g40045.t1 Ebro_g4205.t1 Ebro_g42688.t1 Ebro_g43755.t1 Ebro_g46065.t1 Ebro_g46772.t1 Ebro_g5010.t1 Ebro_g5608.t1 Ebro_g5799.t2 Ebro_g7666.t2 Ebro_g7793.t1 Ebro_g7794.t1 Ebro_g8752.t1 Ebro_g9732.t1
HG_113528	OG0113527: Ebro_g35173.t2 Ebro_g35173.t3
HG_226493	OG0226492: Ebro_g11485.t1
HG_226695	OG0226694: Ebro_g28929.t1
HG_226897	OG0226896: Ebro_g39898.t1
HG_48111	OG0048110: Ebro_g11468.t1 Ebro_g21230.t1 Ebro_g23643.t1 Ebro_g26560.t1 Ebro_g31480.t1 Ebro_g41920.t1
HG_6929	OG0006928: Ebro_g10191.t2 Ebro_g10586.t1 Ebro_g10637.t2 Ebro_g10638.t1 Ebro_g10734.t1 Ebro_g10735.t1 Ebro_g12240.t1 Ebro_g12241.t1 Ebro_g12515.t1 Ebro_g12740.t2 Ebro_g12795.t1 Ebro_g12824.t1 Ebro_g13721.t1 Ebro_g13762.t2 Ebro_g14649.t1 Ebro_g15669.t1 Ebro_g15672.t1 Ebro_g15843.t1 Ebro_g15896.t1 Ebro_g15897.t2 Ebro_g16447.t1 Ebro_g16907.t1 Ebro_g16909.t2 Ebro_g1693.t1 Ebro_g17344.t2 Ebro_g17470.t3 Ebro_g17471.t1 Ebro_g17953.t1 Ebro_g18131.t2 Ebro_g18314.t1 Ebro_g184.t2 Ebro_g184.t3 Ebro_g185.t1 Ebro_g1871.t1 Ebro_g18932.t1 Ebro_g19417.t1 Ebro_g19418.t1 Ebro_g19419.t1 Ebro_g20228.t1 Ebro_g20452.t1 Ebro_g20453.t1 Ebro_g20874.t1 Ebro_g20875.t2 Ebro_g21809.t1 Ebro_g21950.t1 Ebro_g2230.t1 Ebro_g22307.t1 Ebro_g22710.t2 Ebro_g23634.t1 Ebro_g23841.t1 Ebro_g23923.t1 Ebro_g24412.t3 Ebro_g24599.t2 Ebro_g25099.t1 Ebro_g25100.t1 Ebro_g25710.t1 Ebro_g25797.t1 Ebro_g26148.t1 Ebro_g2672.t1 Ebro_g2673.t1 Ebro_g26779.t1 Ebro_g26780.t2 Ebro_g27353.t1 Ebro_g27653.t1 Ebro_g28143.t1 Ebro_g28976.t1 Ebro_g29118.t1 Ebro_g29319.t1 Ebro_g29320.t1 Ebro_g29321.t1 Ebro_g30168.t1 Ebro_g30368.t3 Ebro_g30371.t2 Ebro_g30426.t1 Ebro_g30427.t2 Ebro_g31118.t1 Ebro_g31493.t1 Ebro_g31494.t1 Ebro_g32399.t1 Ebro_g32584.t1 Ebro_g32585.t2 Ebro_g32983.t1 Ebro_g32989.t1 Ebro_g33259.t1 Ebro_g33660.t1 Ebro_g351.t1 Ebro_g35499.t1 Ebro_g35972.t1 Ebro_g37026.t1 Ebro_g37027.t1 Ebro_g37031.t1 Ebro_g37038.t1 Ebro_g37210.t1 Ebro_g37561.t1 Ebro_g37862.t1 Ebro_g38614.t1 Ebro_g38742.t2 Ebro_g38948.t1 Ebro_g38949.t1 Ebro_g39175.t1 Ebro_g39795.t1 Ebro_g40307.t1 Ebro_g40360.t1 Ebro_g40656.t1 Ebro_g40714.t2 Ebro_g4126.t1 Ebro_g4127.t1 Ebro_g41339.t1 Ebro_g41529.t1 Ebro_g41763.t1 Ebro_g41764.t1 Ebro_g42338.t1 Ebro_g42476.t1 Ebro_g43814.t1 Ebro_g44256.t1 Ebro_g44257.t1 Ebro_g44265.t1 Ebro_g44839.t1 Ebro_g44839.t2 Ebro_g45144.t1 Ebro_g45165.t1 Ebro_g460.t1 Ebro_g461.t1 Ebro_g46419.t1 Ebro_g46421.t1 Ebro_g4881.t1 Ebro_g5397.t1 Ebro_g5504.t3 Ebro_g6262.t2 Ebro_g6281.t1 Ebro_g6351.t1 Ebro_g6363.t1 Ebro_g7644.t1 Ebro_g7847.t1 Ebro_g7849.t3 Ebro_g7850.t1 Ebro_g869.t3 Ebro_g8733.t1 Ebro_g9685.t1
HG_226379	OG0226378: Ebro_g21978.t1
HG_226291	OG0226290: Ebro_g34158.t1
